,Hardware,Name,Price,SKU,Info,Image
23,CPU,Ryzen 3 3200G Picasso 3.6GHz Quad-Core AM4 Boxed Processor with Wraith Stealth Cooler,99.99,951897,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608329_951897_01_front_thumbnail.jpg
24,CPU,Ryzen 7 3800X Matisse 3.9GHz 8-Core AM4 Boxed Processor with Wraith Prism Cooler,299.99,951913,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608317_951913_01_front_thumbnail.jpg
25,CPU,Ryzen 5 3600XT Matisse 3.8GHz 6-Core AM4 Boxed Processor with Wraith Spire Cooler,219.99,131888,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/625118_131888_01_front_thumbnail.jpg
26,CPU,Ryzen 7 3800XT Matisse 3.9GHz 8-Core AM4 Boxed Processor,319.99,131862,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/625117_131862_01_front_thumbnail.jpg
27,CPU,Ryzen 9 3900XT Matisse 3.8GHz 12-Core AM4 Boxed Processor,429.99,131854,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/625114_131854_01_front_thumbnail.jpg
28,CPU,Ryzen 9 3950X Matisse 3.5GHz 16-Core AM4 Boxed Processor,649.99,049361,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/616858_049361_01_front_thumbnail.jpg
29,CPU,Ryzen Threadripper 3960X 3.8GHz 24 Core sTRX4 Boxed Processor,1299.99,058537,sTRX4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/617456_058537_01_package_thumbnail.jpg
30,CPU,Ryzen Threadripper 3970X Castle Peak 3.7GHz 32-Core sTRX4 Boxed Processor,1799.99,058552,sTRX4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/617457_058552_01_package_thumbnail.jpg
31,CPU,Ryzen Threadripper 3990X Castle Peak 2.9GHz 64-Core sTRX4 Boxed Processor,3499.99,064055,sTRX4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/617878_064055_01_front_thumbnail.jpg
32,Motherboard,Z490-E ROG Strix Gaming Intel LGA 1200 ATX Motherboard,299.99,106070,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623212_106070_01_front_thumbnail.jpg
33,Motherboard,Z490 ROG MAXIMUS XII HERO (WIFI) Intel LGA 1200 ATX Motherboard,399.99,106096,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623211_106096_01_front_thumbnail.jpg
34,Motherboard,Z490-A Prime Intel LGA 1200 ATX Motherboard,229.99,111559,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623677_111559_01_front_thumbnail.jpg
35,Motherboard,Z490-A ROG Strix Gaming Intel LGA 1200 ATX Motherboard,249.99,115451,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623691_115451_01_front_thumbnail.jpg
36,Motherboard,Z490-Plus TUF Gaming (Wi-Fi) Intel LGA 1200 ATX Motherboard,199.99,106112,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623214_106112_01_front_thumbnail.jpg
37,Motherboard,Z490 MPG Gaming Edge (WiFi) Intel LGA 1200 ATX Motherboard,199.99,112797,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623785_112797_01_front_thumbnail.jpg
38,Motherboard,Z390 Designare Intel LGA 1151 ATX Motherboard,269.99,871087,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/514237_871087_01_front_thumbnail.jpg
39,Motherboard,Z490 AORUS Ultra Intel LGA 1200 ATX Motherboard,269.99,114207,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623872_114207_01_front_thumbnail.jpg
40,Motherboard,X299-E ROG Strix Gaming II Intel LGA 2066 ATX Motherboard,499.99,030809,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/613829_030809_01_front_thumbnail.jpg
